,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
5,0.05600333213806152,0.0007950761098833288,0.001972532272338867,0.0005225132233368751,0.001,0.001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.001}",-208.61849975585938,-214.07090759277344,-220.30142211914062,-223.48110961914062,-230.39700317382812,-219.37378845214843,7.523810663998188,6,7
6,0.07008857727050781,0.00991191020760194,0.0020006179809570314,4.3817157774582455e-06,0.001,0.01,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.01}",-208.61849975585938,-214.07089233398438,-220.30145263671875,-223.4811248779297,-230.39700317382812,-219.37379455566406,7.523815233437306,7,7
7,0.06645345687866211,0.008392616168339053,0.0018626213073730468,0.0008502754728351161,0.001,0.05,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.05}",-208.61856079101562,-214.0709686279297,-220.3014678955078,-223.48117065429688,-230.39794921875,-219.3740234375,7.524069619120595,8,7
8,0.05498218536376953,0.002138270597095284,0.0017088890075683595,0.0004295535500668493,0.01,0.0001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.0001}",-86.14075469970703,-85.87594604492188,-87.27387237548828,-87.55532836914062,-88.69608306884766,-87.1083969116211,1.020112129112975,1,7
9,0.05844883918762207,0.006271091477304885,0.0019440650939941406,0.0004844317273516395,0.01,0.001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.001}",-86.14076232910156,-85.87594604492188,-87.27387237548828,-87.55533599853516,-88.69608306884766,-87.1083999633789,1.0201113502428374,2,7
10,0.0682210922241211,0.01046705451034881,0.0014073848724365234,0.0005726049731102413,0.01,0.01,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.01}",-86.14077758789062,-85.87596893310547,-87.27389526367188,-87.55535888671875,-88.69610595703125,-87.1084213256836,1.0201127976352848,3,7
11,0.0531832218170166,0.002335456427324365,0.001749420166015625,0.00047146193676421384,0.01,0.05,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.05}",-86.14087677001953,-85.87606048583984,-87.27399444580078,-87.55545043945312,-88.69619750976562,-87.10851593017578,1.0201115977604138,4,7
0,0.051941633224487305,0.0020175309021879,0.0011997699737548828,0.0003988508507184162,0.0001,0.0001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.0001}",-302.8377990722656,-311.59698486328125,-320.98095703125,-330.2469482421875,-336.9024658203125,-320.5130310058594,12.292203836489584,9,8
1,0.05484609603881836,0.0036666475193982166,0.0015697956085205078,0.00042489582037738875,0.0001,0.001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.001}",-302.8377990722656,-311.59698486328125,-320.98095703125,-330.2469482421875,-336.9024658203125,-320.5130310058594,12.292203836489584,9,8
2,0.05615086555480957,0.003590376999334148,0.0018219947814941406,0.00036086177966940806,0.0001,0.01,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.01}",-302.8377990722656,-311.59698486328125,-320.98095703125,-330.2469482421875,-336.9024658203125,-320.5130310058594,12.292203836489584,9,8
